Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
International Journal of Information Management;54,9;"99.0%
1/507
Computer Networks and Communications";21368;389;97;6,932;6,26;Elsevier
Annual Review of Organizational Psychology and Organizational Behavior;35;"99.0%
1/313
Social Psychology";2413;69;97;11,141;12,191;Annual Reviews Inc.
Organizational Research Methods;33,2;"99.0%
1/496
Strategy and Management";3519;106;93;8,377;10,181;SAGE
Academy of Management Review;28,7;"99.0%
1/225
General Business, Management and Accounting";4996;174;96;6,108;14,402;Academy of Management
Journal of Marketing;28,4;"99.0%
1/451
Business and International Management";5646;199;92;5,222;13,394;American Marketing Association
International Journal of Information Management Data Insights;26,5;"99.0%
2/287
Library and Information Sciences";7767;293;85;3,604;2,302;Elsevier
Tourism Management;26,5;"99.0%
1/309
Development";15095;570;95;3,745;4,146;Elsevier
Technological Forecasting and Social Change;26,3;"99.0%
2/451
Business and International Management";76934;2927;92;3,255;3,472;Elsevier
Journal of Business Research;25,3;"98.0%
3/215
Marketing";82008;3243;92;3,348;3,499;Elsevier
Journal of Management;24,9;"99.0%
1/333
Finance";8081;324;96;5,747;8,636;SAGE
Human Resource Management Review;24,7;"99.0%
2/234
Organizational Behavior and Human Resource Management";3873;157;94;4,129;3,934;Elsevier
Journal of Service Research;24,6;"99.0%
1/1497
Sociology and Political Science";3419;139;94;3,392;6,011;SAGE
Academy of Management Annals;23,9;"99.0%
3/451
Business and International Management";1987;83;94;6,832;13,877;Academy of Management
Business Strategy and the Environment;23,7;"99.0%
2/841
Geography, Planning and Development";30608;1293;88;3,191;3,609;John Wiley & Sons
Journal of Service Management;23,3;"99.0%
1/208
Business, Management and Accounting (miscellaneous)";3607;155;89;2,798;3,348;Emerald Publishing
Entrepreneurship Theory and Practice;23;"99.0%
2/731
Economics and Econometrics";5175;225;94;3,998;6,876;SAGE
Journal of the Academy of Marketing Science;22,8;"99.0%
3/731
Economics and Econometrics";5801;254;88;4,388;6,896;Springer Nature
Journal of Retailing and Consumer Services;22,7;"97.0%
5/215
Marketing";35837;1578;93;2,992;3,439;Elsevier
Journal of Financial Economics;22;"99.0%
1/182
Accounting";13289;605;88;6,178;17,669;Elsevier
Technology in Society;21,9;"99.0%
2/1497
Sociology and Political Science";25687;1174;89;2,969;2,559;Elsevier
Electronic Markets;21,8;"99.0%
6/731
Economics and Econometrics";6168;283;88;3,146;2,325;Springer Nature
Journal of Hospitality Marketing and Management;21,8;"98.0%
3/151
Tourism, Leisure and Hospitality Management";3732;171;93;2,967;3,212;Taylor & Francis
