Journal Title;"Online
ISSN";Subject Area;License types offered;Full Article Publication Charge;;
;;;;USD $;GBP £;EUR €
Abacus;14676281;General & Introductory Accounting;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Academic Emergency Medicine;15532712;Emergency Medicine & Trauma;CC BY, CC BY-NC or CC BY-NC-ND;$3.900;£2.590;€ 3.240
Accounting & Finance;1467629X;General & Introductory Accounting;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Accounting Perspectives;19113838;Financial Accounting;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Acta Anaesthesiologica Scandinavica;13996576;Anesthesia & Pain Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Acta Crystallographica Section A: Foundations and Advances;20532733;Crystallography;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.450;€ 4.000
Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials;20525206;Crystallography;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£3.290;€ 3.810
Acta Crystallographica Section C: Structural Chemistry;20532296;Crystallography;CC BY, CC BY-NC or CC BY-NC-ND;$3.950;£2.920;€ 3.350
Acta Crystallographica Section D: Structural Biology;20597983;Crystallography;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£4.030;€ 4.650
Acta Crystallographica Section F: Structural Biology Communications;2053230X;Crystallography;CC BY, CC BY-NC or CC BY-NC-ND;$3.520;£2.780;€ 3.170
Acta Geologica Sinica (English Edition);17556724;General & Introductory Earth Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Acta Ophthalmologica;17553768;Ophthalmology;CC BY, CC BY-NC or CC BY-NC-ND;$4.990;£3.340;€ 4.190
Acta Paediatrica;16512227;Pediatrics;CC BY*, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Acta Physiologica;17481716;Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$5.150;£3.420;€ 4.280
Acta Psychiatrica Scandinavica;16000447;Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Acta Zoologica;14636395;Animal Science & Zoology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Addiction;13600443;Addiction;CC BY*, CC BY-NC or CC BY-NC-ND;$4.600;£3.170;€ 3.920
Advanced Biology;27010198;General & Introductory Life Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Advanced Control for Applications: Engineering and Industrial Systems ;25780727;Control Systems Technology;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.330
Advanced Energy Materials;16146840;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.790;£3.860;€ 4.830
Advanced Engineering Materials;15272648;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.520;£3.010;€ 3.720
Advanced Functional Materials;16163028;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.790;£4.370;€ 5.050
Advanced Healthcare Materials;21922659;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Advanced Materials;15214095;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$6.070;£4.580;€ 5.290
